"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
104,"[C04][H1][S02] Deep Vein Thrombosis",439314,"Thrombophlebitis of the femoral vein","S","V","195410000","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",443537,"Deep venous thrombosis of lower extremity","S","V","404223003","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",608831,"Acute deep vein thrombosis of right lower limb following coronary artery bypass graft","S","V","15708241000119104","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",608832,"Acute deep vein thrombosis of left lower limb following coronary artery bypass graft","S","V","15708361000119109","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",608963,"Right iliac vein thrombophlebitis","S","V","15968821000119100","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",608964,"Left iliac vein thrombophlebitis","S","V","15968861000119105","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",608965,"Bilateral iliac vein thrombophlebitis","S","V","15968901000119104","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",609000,"Thrombophlebitis of left popliteal vein","S","V","16011911000119100","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",609001,"Thrombophlebitis of right popliteal vein","S","V","16011951000119104","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",609002,"Bilateral femoral vein thrombophlebitis","S","V","16012031000119104","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",609003,"Bilateral deep femoral vein thrombophlebitis","S","V","16012191000119104","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",761013,"Deep venous thrombosis of bilateral pelvic veins","S","V","132541000119101","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",761444,"Acute deep vein thrombosis of bilateral lower limbs following coronary artery bypass graft","S","V","15711361000119101","SNOMED"
104,"[C04][H1][S02] Deep Vein Thrombosis",761446,"Chronic deep venous thrombosis of left thigh","S","V","15711481000119102","SNOMED"
